Ranking,Gen,Importancia
1,precursor_miRNA:hsa-mir-128-1,0.01165991201426699
2,mRNA:NM_138348:7896:NA:1_7896,0.009662184385596623
3,mature_miRNA:hsa-miR-744-3p,0.009465555730320424
4,precursor_miRNA:hsa-mir-221,0.008955346340085055
5,snoRNA:NR_002564:75:SNORD26:1_75,0.008776304090903362
6,precursor_miRNA:hsa-let-7c,0.008750842669892832
7,mRNA:NM_020167:2067:NA:1_2067,0.008031032488581134
8,mature_miRNA:hsa-miR-935,0.007974315642232253
9,GNOMON_233136355,0.007536749657326363
10,mRNA:NM_001277291:2303:NA:1_2303,0.007238813438140658
11,mRNA:NM_001517:1736:NA:1_1736,0.005827132721835671
12,mature_miRNA:hsa-miR-411-3p,0.005755310549605604
13,lncRNA:NR_047469:4300:LINC00506:1_4300,0.005648097635444972
14,C-COL06394,0.005468120905342076
15,"mature_miRNA:mmu-miR-384-5p,rno-miR-384-5p,cgr-miR-384-5p",0.005365933190356427
16,lncRNA:NR_024618:5904:LOC100129550:1_5904,0.0053519120597198535
17,mRNA:NM_024955:5019:NA:1_5019,0.005258089201778493
18,precursor_miRNA:hsa-mir-1246,0.005186822790857214
19,mature_miRNA:hsa-miR-30e-3p,0.0050539511860328455
20,mature_miRNA:hsa-miR-7-5p,0.004983785047359104
21,mature_miRNA:hsa-miR-409-3p,0.00495149515764316
22,precursor_miRNA:hsa-mir-29c,0.004904266103938448
23,precursor_miRNA:hsa-mir-455,0.004838898233499812
24,mRNA:NM_016176:2051:NA:1_2051,0.004808270626920901
25,mature_miRNA:hsa-let-7e-3p,0.004709653697217434
26,precursor_miRNA:hsa-mir-126,0.004565409054783665
27,mRNA:NM_001190478:1739:NA:1_1739,0.004549536962819428
28,precursor_miRNA:hsa-mir-486-2,0.0045154397590841085
29,mature_miRNA:hsa-miR-143-3p,0.004484279717171223
30,piwiRNA:hsa_piR_016926,0.004330127239633685
31,mature_miRNA:hsa-miR-138-1-3p,0.0042436144170959434
32,mRNA:NM_021129:1316:NA:1_1316,0.004221879816795008
33,mature_miRNA:hsa-miR-889-3p,0.004072190545151429
34,precursor_miRNA:hsa-mir-92b,0.004055790450571616
35,piwiRNA:hsa_piR_020391,0.004034833384277136
36,mature_miRNA:hsa-miR-30a-3p,0.003987250418949102
37,mRNA:NM_002999:2615:NA:1_2615,0.0038652774145195457
38,snoRNA:NR_002908:80:SNORD20:1_80,0.003860594692057901
39,mRNA:NM_000843:6143:NA:1_6143,0.0038229099663596765
40,lncRNA:NR_038992:2925:LOC285819:1_2925,0.0038011925194518857
41,lncRNA:NR_038990:1416:EHHADH-AS1:1_1416,0.0037295914613114005
42,piwiRNA:hsa_piR_004506,0.0037054425367895757
43,C-CAE04083,0.003595466133028129
44,lncRNA:NR_073154:2884:C1orf145:1_2884,0.003527443840395708
45,lncRNA:NR_015375:928:FLJ35024:1_928,0.0034982103180884977
46,mRNA:NM_182762:9167:NA:1_9167,0.0034900100005553565
47,lncRNA:NR_015398:2644:RP5-944M2.3:1_2644,0.003473365706227846
48,mRNA:NM_032826:6816:NA:1_6816,0.0034203032950926257
49,snRNA:NR_003137:141:RNU4-2:1_141,0.0034126204002204934
50,C-HEMBA1006617,0.0033866224432187926
51,mRNA:NM_001128215:1484:NA:1_1484,0.003374803197538385
52,mature_miRNA:hsa-miR-660-5p,0.0033704644966305046
53,mRNA:NM_012193:7394:NA:1_7394,0.003338586304583256
54,mRNA:NM_021948:3470:NA:1_3470,0.0032675348515960653
55,piwiRNA:hsa_piR_006426,0.0032642654791020876
56,mRNA:NM_031418:5936:NA:1_5936,0.003257440654877147
57,mature_miRNA:hsa-miR-495-3p,0.0032453718379901477
58,precursor_miRNA:hsa-mir-9-1,0.0031548736810706915
59,mature_miRNA:hsa-miR-191-3p,0.0031239095436414975
60,mature_miRNA:hsa-miR-199b-5p,0.0031140704299286994
61,piwiRNA:hsa_piR_018570,0.0030949885529785374
